magnitude,depth,cdi,mmi,sig,alert
7.0,14.0,8.0,7.0,0.0,green
6.9,25.0,4.0,4.0,-33.0,green
7.0,579.0,3.0,3.0,-13.0,green
7.3,37.0,5.0,5.0,65.0,green
6.6,624.0,0.0,2.0,-98.0,green
7.0,660.0,4.0,3.0,-13.0,green
6.8,630.0,1.0,3.0,-57.0,green
6.7,20.0,7.0,6.0,29.0,green
6.8,20.0,8.0,7.0,-101.0,yellow
7.6,26.0,9.0,8.0,7.0,yellow
6.9,10.0,9.0,9.0,119.0,yellow
6.5,10.0,7.0,7.0,-12.0,green
7.0,137.0,7.0,5.0,-7.0,green
7.6,116.0,8.0,8.0,-59.0,yellow
6.6,12.0,9.0,8.0,19.0,orange
6.6,30.0,7.0,6.0,-96.0,green
7.0,33.0,9.0,8.0,71.0,yellow
6.5,622.0,3.0,2.0,-115.0,green
7.2,236.0,7.0,5.0,108.0,green
6.9,10.0,2.0,5.0,-35.0,green
6.8,220.0,6.0,5.0,-6.0,green
6.6,27.0,6.0,5.0,-6.0,green
7.0,10.0,6.0,4.0,-5.0,green
6.9,10.0,6.0,4.0,-30.0,green
6.7,24.0,8.0,7.0,38.0,green
7.3,41.0,9.0,8.0,93.0,red
6.7,28.0,9.0,6.0,-60.0,green
6.6,24.0,2.0,7.0,-98.0,green
6.8,535.0,2.0,3.0,-56.0,green
6.5,110.0,8.0,6.0,-78.0,green
6.5,8.0,7.0,4.0,-117.0,green
6.6,33.0,8.0,6.0,17.0,green
6.6,19.0,8.0,5.0,-94.0,green
6.8,20.0,7.0,6.0,-38.0,green
6.6,21.0,6.0,6.0,-48.0,green
6.6,13.0,9.0,8.0,-12.0,orange
7.3,165.0,8.0,7.0,-103.0,green
7.3,14.0,9.0,5.0,86.0,green
7.5,126.0,8.0,8.0,70.0,yellow
6.6,12.0,7.0,4.0,-80.0,green
6.9,51.0,8.0,6.0,-29.0,green
6.9,535.0,4.0,3.0,-28.0,green
7.3,527.0,4.0,4.0,58.0,green
6.5,21.0,7.0,5.0,-84.0,green
7.0,20.0,8.0,8.0,-56.0,red
7.1,6.0,1.0,4.0,8.0,green
6.6,7.0,1.0,3.0,-98.0,green
6.9,93.0,8.0,7.0,-27.0,green
6.9,16.0,6.0,4.0,-34.0,green
7.2,10.0,9.0,8.0,27.0,red
6.9,33.0,5.0,4.0,-30.0,green
6.9,20.0,5.0,4.0,-30.0,green
8.1,22.0,0.0,7.0,-15.0,green
7.5,47.0,9.0,6.0,100.0,green
7.1,55.0,9.0,7.0,78.0,green
8.2,46.0,8.0,6.0,-43.0,green
8.2,35.0,8.0,7.0,-28.0,yellow
6.7,110.0,8.0,5.0,-89.0,green
6.7,10.0,6.0,6.0,62.0,green
6.5,25.0,0.0,4.0,-118.0,green
6.5,10.0,5.0,7.0,-116.0,green
7.3,10.0,9.0,9.0,1.0,orange
6.7,11.0,8.0,4.0,-70.0,green
6.7,10.0,9.0,3.0,-74.0,green
6.9,43.0,7.0,6.0,-105.0,green
6.5,246.0,4.0,4.0,-117.0,green
6.5,301.0,6.0,4.0,-116.0,green
7.0,43.0,7.0,7.0,28.0,yellow
6.6,13.0,5.0,5.0,-96.0,green
6.5,24.0,0.0,4.0,-118.0,green
8.1,28.0,9.0,8.0,-3.0,green
7.4,43.0,3.0,7.0,75.0,green
7.3,10.0,7.0,6.0,-92.0,green
7.1,43.0,9.0,8.0,76.0,orange
7.7,10.0,9.0,4.0,-106.0,green
6.9,15.0,9.0,5.0,-29.0,green
7.0,80.0,7.0,5.0,34.0,green
6.7,10.0,8.0,8.0,8.0,green
6.7,10.0,5.0,5.0,8.0,green
7.0,21.0,8.0,7.0,-9.0,orange
7.6,28.0,9.0,7.0,-115.0,yellow
6.9,10.0,0.0,3.0,-36.0,green
6.5,16.0,6.0,6.0,-94.0,green
6.8,21.0,6.0,7.0,56.0,green
6.5,10.0,4.0,5.0,-117.0,green
6.9,624.0,4.0,3.0,-19.0,green
6.9,26.0,4.0,4.0,-33.0,green
6.8,22.0,5.0,4.0,-52.0,green
6.6,10.0,9.0,8.0,16.0,yellow
7.8,28.0,9.0,7.0,87.0,green
7.0,73.0,6.0,7.0,52.0,green
6.6,533.0,4.0,2.0,-84.0,green
7.4,20.0,8.0,8.0,-42.0,orange
7.4,10.0,7.0,7.0,105.0,green
6.6,165.0,5.0,4.0,-34.0,green
6.8,112.0,6.0,6.0,67.0,green
6.5,2.0,7.0,8.0,40.0,green
6.6,107.0,4.0,6.0,-97.0,green
6.8,96.0,4.0,6.0,-30.0,green
6.5,10.0,7.0,6.0,-90.0,green
6.5,12.0,8.0,8.0,-126.0,green
7.5,57.0,6.0,5.0,111.0,green
7.0,143.0,5.0,6.0,2.0,yellow
7.7,14.0,9.0,6.0,20.0,yellow
6.7,10.0,8.0,9.0,-33.0,orange
6.8,18.0,9.0,7.0,57.0,yellow
7.1,33.0,6.0,6.0,31.0,green
6.5,577.0,0.0,2.0,-118.0,green
6.6,10.0,4.0,4.0,-95.0,green
